name,attack,defense,rank
argentina,88,85,1
France,87,84,2
Brazil,86,83,3
England,85,82,4
Belgium,83,81,5
Croatia,82,82,6
Netherlands,82,81,7
Portugal,84,80,8
Spain,83,81,9
Italy,82,82,10
Morocco,79,81,13
USA,78,77,11
Mexico,77,76,12
Japan,78,76,14
Germany,83,79,15
Senegal,77,77,16
Iran,75,74,20
South Korea,76,74,22
Australia,73,73,25
Saudi Arabia,71,70,50
Canada,74,72,40
Switzerland,78,78,18
Denmark,79,78,19
Uruguay,80,79,17
Colombia,80,78,21
Poland,77,76,26
Egypt,76,74,30
Nigeria,77,74,35
Tunisia,72,73,45
Cameroon,73,73,43
Ecuador,75,75,38
Qatar,70,69,60
